date,open,oil
2012-08-08,435.1,93.410004
2012-08-09,437.67,93.43
2012-08-10,433.51,93.459999
2012-08-13,429.62,93.25
2012-08-14,432.89,92.709999
2012-08-15,429.95,93.25
2012-08-16,437.66,94.209999
2012-08-17,442.24,95.230003
2012-08-20,444.95,96.360001
2012-08-21,451.57,95.970001
2012-08-22,446.99,96.940002
2012-08-23,448.34,97.300003
2012-08-24,445.94,96.059998
2012-08-27,442.22,96.669998
2012-08-28,444.2,95.660004
2012-08-29,437.94,96.080002
2012-08-30,423.94,95.300003
2012-08-31,427.43,94.75
2012-09-03,429.02,94.75
2012-09-04,426.15,96.379997
2012-09-05,423.0,95.610001
2012-09-06,429.48,96.0
2012-09-07,437.61,94.699997
2012-09-10,440.12,96.239998
2012-09-11,437.95,96.290001
2012-09-12,428.86,96.849998
2012-09-13,432.28,96.93
2012-09-14,443.28,98.040001
2012-09-17,442.61,99.150002
2012-09-18,443.79,96.709999
2012-09-19,448.67,95.489998
2012-09-20,440.76,91.769997
2012-09-21,443.58,92.93
2012-09-24,443.19,93.18
2012-09-25,442.28,92.110001
2012-09-26,433.01,90.82
2012-09-27,440.89,90.080002
2012-09-28,436.07,92.349998
2012-10-01,438.89,92.150002
2012-10-02,439.43,92.410004
2012-10-03,433.21,91.639999
2012-10-04,434.83,88.010002
2012-10-05,436.38,91.510002
2012-10-08,435.16,89.849998
2012-10-09,428.23,89.620003
2012-10-10,424.78,92.260002
2012-10-11,429.9,91.269997
2012-10-12,428.44,92.410004
2012-10-15,430.72,91.629997
2012-10-16,437.59,91.760002
2012-10-17,444.42,92.080002
2012-10-18,447.66,92.059998
2012-10-19,435.09,92.040001
2012-10-22,433.9,89.519997
2012-10-23,418.04,89.139999
2012-10-24,415.62,86.599998
2012-10-25,417.26,85.650002
2012-10-26,412.34,86.0
2012-10-29,414.28,86.0
2012-10-30,414.15,86.0
2012-10-31,413.21,85.730003
2012-11-01,413.83,86.099998
2012-11-02,410.2,86.910004
2012-11-05,405.55,84.650002
2012-11-06,412.45,85.66999799999998
2012-11-07,411.67,88.41999799999998
2012-11-08,407.95,84.519997
2012-11-09,404.15,85.0
2012-11-12,399.03,86.190002
2012-11-13,398.04,85.589996
2012-11-14,394.34,85.370003
2012-11-15,396.11,86.360001
2012-11-16,399.34,85.279999
2012-11-19,407.41,87.300003
2012-11-20,403.24,89.150002
2012-11-21,404.24,87.279999
2012-11-22,405.79,87.279999
2012-11-23,412.1,87.279999
2012-11-26,419.54,88.209999
2012-11-27,415.58,87.82
2012-11-28,415.18,87.33000200000002
2012-11-29,421.19,86.57
2012-11-30,421.62,87.660004
2012-12-03,417.52,88.849998
2012-12-04,421.94,88.93
2012-12-05,423.91,88.5
2012-12-06,428.19,87.870003
2012-12-07,434.3,86.389999
2012-12-10,433.77,85.980003
2012-12-11,436.09,85.699997
2012-12-12,443.06,85.690002
2012-12-13,443.38,86.769997
2012-12-14,449.08,86.129997
2012-12-17,463.13,86.879997
2012-12-18,457.36,87.449997
2012-12-19,465.37,87.940002
2012-12-20,470.67,89.690002
2012-12-21,469.47,90.019997
2012-12-24,466.48,90.019997
2012-12-25,469.21,90.019997
2012-12-26,467.5,88.620003
2012-12-27,463.85,91.0
2012-12-28,456.26,91.150002
2012-12-31,457.03,90.410004
2013-01-01,457.03,90.410004
2013-01-02,468.33,91.779999
2013-01-03,475.4,92.910004
2013-01-04,480.68,92.860001
2013-01-07,477.53,93.209999
2013-01-08,472.5,93.32
2013-01-09,479.66,93.150002
2013-01-10,486.96,93.190002
2013-01-11,487.73,93.870003
2013-01-14,483.95,93.739998
2013-01-15,485.64,94.199997
2013-01-16,479.86,93.400002
2013-01-17,479.28,94.190002
2013-01-18,481.94,95.190002
2013-01-21,479.5,95.190002
2013-01-22,482.86,95.25
2013-01-23,482.27,96.760002
2013-01-24,478.12,95.5
2013-01-25,473.44,95.949997
2013-01-28,470.12,96.040001
2013-01-29,470.51,96.459999
2013-01-30,470.02,97.32
2013-01-31,467.02,97.959999
2013-02-01,465.71,97.419998
2013-02-04,461.23,97.720001
2013-02-05,456.32,96.129997
2013-02-06,463.84,96.639999
2013-02-07,465.21,96.860001
2013-02-08,461.85,95.919998
2013-02-11,463.9,95.790001
2013-02-12,469.46,96.959999
2013-02-13,466.97,97.589996
2013-02-14,474.34,97.169998
2013-02-15,478.16,97.339996
2013-02-18,476.15,97.339996
2013-02-19,476.11,95.970001
2013-02-20,479.44,96.660004
2013-02-21,470.66,94.720001
2013-02-22,470.62,92.959999
2013-02-25,469.66,93.230003
2013-02-26,462.71,91.919998
2013-02-27,462.83,92.720001
2013-02-28,465.75,92.889999
2013-03-01,463.9,91.760002
2013-03-04,462.37,90.709999
2013-03-05,466.61,90.230003
2013-03-06,469.79,90.830002
2013-03-07,470.47,90.419998
2013-03-08,470.49,91.419998
2013-03-11,469.43,91.830002
2013-03-12,464.85,91.940002
2013-03-13,458.67,92.620003
2013-03-14,465.21,92.510002
2013-03-15,468.65,93.150002
2013-03-18,461.58,93.260002
2013-03-19,462.14,93.800003
2013-03-20,466.3,92.089996
2013-03-21,471.71,93.400002
2013-03-22,474.84,92.330002
2013-03-25,465.31,93.720001
2013-03-26,467.1,94.75
2013-03-27,466.95,96.18
2013-03-28,468.89,96.68
2013-03-29,471.5,96.68
2013-04-01,469.97,97.360001
2013-04-02,461.57,97.0
2013-04-03,462.71,96.93
2013-04-04,458.87,94.5
2013-04-05,457.81,93.360001
2013-04-08,461.49,93.019997
2013-04-09,479.06,93.489998
2013-04-10,492.19,93.959999
2013-04-11,499.43,94.559998
2013-04-12,517.13,93.489998
2013-04-15,521.81,90.949997
2013-04-16,519.0,87.41999799999998
2013-04-17,506.7,88.800003
2013-04-18,499.64,86.389999
2013-04-19,507.65,88.370003
2013-04-22,508.04,87.959999
2013-04-23,513.22,89.279999
2013-04-24,520.3,89.599998
2013-04-25,522.1,91.580002
2013-04-26,521.5,93.239998
2013-04-29,529.55,92.699997
2013-04-30,536.0,94.419998
2013-05-01,537.98,93.080002
2013-05-02,536.98,91.0
2013-05-03,536.96,93.989998
2013-05-06,540.09,95.580002
2013-05-07,543.42,95.790001
2013-05-08,552.93,95.559998
2013-05-09,550.15,96.599998
2013-05-10,553.56,96.160004
2013-05-13,556.57,95.760002
2013-05-14,566.26,94.93
2013-05-15,568.78,94.129997
2013-05-16,571.42,94.339996
2013-05-17,570.48,95.150002
2013-05-20,585.74,95.93
2013-05-21,588.68,96.699997
2013-05-22,574.89,95.900002
2013-05-23,558.43,94.18
2013-05-24,569.45,94.370003
2013-05-27,567.22,94.370003
2013-05-28,566.45,93.889999
2013-05-29,581.51,95.050003
2013-05-30,578.87,92.889999
2013-05-31,568.95,93.639999
2013-06-03,569.26,91.730003
2013-06-04,568.71,93.349998
2013-06-05,558.29,93.860001
2013-06-06,551.32,93.699997
2013-06-07,552.64,94.720001
2013-06-10,562.66,96.089996
2013-06-11,554.93,95.760002
2013-06-12,555.98,94.889999
2013-06-13,553.52,95.769997
2013-06-14,556.69,96.639999
2013-06-17,572.65,97.849998
2013-06-18,573.65,97.93
2013-06-19,570.61,98.589996
2013-06-20,547.41,98.019997
2013-06-21,545.63,94.959999
2013-06-24,532.57,93.849998
2013-06-25,530.92,95.019997
2013-06-26,544.18,95.169998
2013-06-27,552.55,95.519997
2013-06-28,554.96,96.809998
2013-07-01,555.87,96.580002
2013-07-02,558.18,98.059998
2013-07-03,551.24,98.059998
2013-07-04,555.48,98.059998
2013-07-05,557.46,101.089996
2013-07-08,561.17,103.949997
2013-07-09,565.39,103.0
2013-07-10,566.66,104.57
2013-07-11,579.7,106.150002
2013-07-12,575.98,104.580002
2013-07-15,585.15,106.050003
2013-07-16,591.64,106.440002
2013-07-17,589.8,105.779999
2013-07-18,591.22,106.559998
2013-07-19,594.15,108.120003
2013-07-22,602.13,108.339996
2013-07-23,603.04,107.0
2013-07-24,605.56,107.360001
2013-07-25,600.97,105.370003
2013-07-26,597.73,105.559998
2013-07-29,591.18,104.610001
2013-07-30,598.73,104.519997
2013-07-31,593.64,103.150002
2013-08-01,602.48,105.260002
2013-08-02,611.02,107.800003
2013-08-05,614.3,106.839996
2013-08-06,613.68,106.480003
2013-08-07,596.73,105.68
2013-08-08,601.41,104.18
2013-08-09,603.99,103.870003
2013-08-12,606.98,105.839996
2013-08-13,603.86,106.150002
2013-08-14,605.83,106.540001
2013-08-15,596.67,106.980003
2013-08-16,596.92,107.18
2013-08-19,582.55,107.779999
2013-08-20,581.22,106.93
2013-08-21,576.95,105.18
2013-08-22,581.4,103.879997
2013-08-23,587.6,105.220001
2013-08-26,582.28,106.910004
2013-08-27,571.81,106.139999
2013-08-28,565.67,109.220001
2013-08-29,566.99,109.529999
2013-08-30,569.7,108.169998
2013-09-02,572.04,108.169998
2013-09-03,582.31,107.07
2013-09-04,580.33,108.440002
2013-09-05,591.64,107.589996
2013-09-06,596.76,108.519997
2013-09-09,598.84,110.279999
2013-09-10,606.68,108.919998
2013-09-11,610.95,107.360001
2013-09-12,606.51,107.769997
2013-09-13,608.38,108.639999
2013-09-16,613.88,107.5
2013-09-17,611.55,106.220001
2013-09-18,616.83,105.529999
2013-09-19,624.53,108.220001
2013-09-20,620.07,106.370003
2013-09-23,622.63,104.889999
2013-09-24,623.16,103.440002
2013-09-25,624.54,103.410004
2013-09-26,637.0,102.300003
2013-09-27,645.07,102.910004
2013-09-30,647.93,102.459999
2013-10-01,657.99,102.309998
2013-10-02,661.79,101.620003
2013-10-03,664.58,103.82
2013-10-04,668.19,102.919998
2013-10-07,662.32,103.449997
2013-10-08,663.85,103.160004
2013-10-09,661.85,103.489998
2013-10-10,670.95,101.459999
2013-10-11,675.2,102.940002
2013-10-14,675.33,101.370003
2013-10-15,680.69,102.190002
2013-10-16,685.42,100.879997
2013-10-17,693.75,102.129997
2013-10-18,702.03,100.720001
2013-10-21,707.03,100.629997
2013-10-22,708.39,99.059998
2013-10-23,695.95,98.120003
2013-10-24,691.4,97.099998
2013-10-25,678.5,97.190002
2013-10-28,673.3,97.879997
2013-10-29,674.64,98.540001
2013-10-30,672.57,97.769997
2013-10-31,669.21,96.620003
2013-11-01,670.66,96.32
2013-11-04,682.76,94.519997
2013-11-05,683.53,94.470001
2013-11-06,688.2,93.739998
2013-11-07,667.28,94.910004
2013-11-08,668.9,94.360001
2013-11-11,673.59,94.449997
2013-11-12,671.34,95.0
2013-11-13,672.87,93.07
2013-11-14,683.36,93.5
2013-11-15,685.88,93.889999
2013-11-18,688.09,93.779999
2013-11-19,675.85,93.0
2013-11-20,671.53,93.330002
2013-11-21,672.6,93.730003
2013-11-22,670.01,95.290001
2013-11-25,668.97,94.150002
2013-11-26,665.56,94.209999
2013-11-27,666.33,93.5
